,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
4454,AZ,85000.0,4 years,top executive,MORTGAGE,431.54,12700,home_improvement,36 months,0.1359,2619.0,70.0,156.0,8.0,8.0,0,44.0,5.0,4.0,14.0,0.0,1.0,16,66.7,1,25,41897.0,Fully Paid
4455,GA,40000.0,2 years,assistant,MORTGAGE,269.98,10800,car,60 months,0.1727,169.0,107.0,178.0,4.0,3.0,1,38.0,10.0,26.0,15.0,0.0,7.0,15,0.0,0,46,2362.0,Charged Off
4457,NM,90000.0,< 1 year,director,RENT,476.12,16000,debt_consolidation,60 months,0.2569,18076.0,139.0,172.0,27.0,3.0,5,30.0,1.0,12.0,4.0,0.0,4.0,7,0.0,0,24,126535.0,Fully Paid
4458,OR,140000.0,< 1 year,ICT expert,RENT,317.12,10000,debt_consolidation,36 months,0.0881,187.0,105.0,25.0,2.0,2.0,0,0.0,2.0,2.0,3.0,0.0,2.0,3,0.0,0,5,560.0,Fully Paid
4459,IL,140000.0,2 years,manager,MORTGAGE,845.55,30000,small_business,60 months,0.2299,26925.0,157.0,95.0,43.0,41.0,5,24.0,4.0,15.0,6.0,0.0,0.0,16,66.7,0,30,202933.0,Fully Paid
4460,MO,50000.0,4 years,manager,MORTGAGE,626.64,20000,debt_consolidation,36 months,0.0799,15755.0,155.0,183.0,9.0,9.0,3,0.0,9.0,7.0,4.0,0.0,1.0,8,0.0,0,22,15446.0,Fully Paid
4461,FL,25000.0,6 years,sales rep,RENT,134.99,4000,credit_card,36 months,0.1311,1301.0,24.0,76.0,10.0,10.0,0,0.0,18.0,1.0,18.0,0.0,1.0,20,25.0,0,27,24719.0,Fully Paid
4462,SC,85800.0,1 year,engineer,MORTGAGE,856.54,35000,debt_consolidation,60 months,0.1629,23863.0,99.0,238.0,63.0,29.0,3,26.0,6.0,4.0,5.0,0.0,0.0,9,60.0,0,17,48821.0,Fully Paid
4463,IL,64500.0,10+ years,analyst,MORTGAGE,972.99,29650,home_improvement,60 months,0.3075,6253.0,108.0,196.0,45.0,11.0,3,0.0,6.0,9.0,8.0,0.0,2.0,10,50.0,0,23,56281.0,Fully Paid
4464,TX,65000.0,10+ years,counselor,OWN,1299.54,40000,home_improvement,36 months,0.1047,468.0,92.0,273.0,182.0,92.0,1,0.0,3.0,1.0,2.0,0.0,0.0,2,0.0,0,5,935.0,Fully Paid
4465,TX,45000.0,6 years,tester,MORTGAGE,210.81,7000,major_purchase,36 months,0.0532,12563.0,161.0,239.0,5.0,5.0,2,0.0,16.0,3.0,12.0,0.0,1.0,13,0.0,1,25,1927.0,Fully Paid
4466,WI,66833.0,10+ years,school staff,RENT,397.84,16500,debt_consolidation,60 months,0.1561,5439.0,123.0,140.0,7.0,6.0,1,0.0,4.0,13.0,4.0,0.0,2.0,6,0.0,1,28,32634.0,Fully Paid
4467,NY,77390.0,4 years,top executive,MORTGAGE,312.62,15000,debt_consolidation,60 months,0.0917,22710.0,150.0,167.0,101.0,13.0,1,0.0,4.0,6.0,2.0,0.0,0.0,7,50.0,0,13,34344.0,Charged Off
4469,GA,60200.0,6 years,manager,MORTGAGE,498.15,15000,debt_consolidation,36 months,0.1199,11998.0,58.0,78.0,5.0,5.0,1,0.0,9.0,3.0,11.0,0.0,2.0,13,50.0,0,17,41986.0,Fully Paid
4470,SC,60000.0,10+ years,dental,MORTGAGE,634.43,25000,debt_consolidation,60 months,0.1797,16665.0,146.0,126.0,7.0,7.0,1,0.0,12.0,14.0,8.0,0.0,3.0,11,100.0,0,35,60737.0,Fully Paid
4471,SC,52000.0,1 year,manager,OWN,239.11,6800,credit_card,36 months,0.1601,1081.0,136.0,184.0,3.0,3.0,0,25.0,4.0,9.0,11.0,0.0,2.0,12,33.3,0,23,12968.0,Fully Paid
4472,TN,45000.0,9 years,engineer,MORTGAGE,147.71,4400,credit_card,36 months,0.1274,39816.0,208.0,136.0,7.0,1.0,4,0.0,10.0,10.0,5.0,0.0,3.0,6,75.0,0,29,16724.0,Fully Paid
4473,MA,68000.0,7 years,school staff,MORTGAGE,303.81,12000,debt_consolidation,60 months,0.1786,5473.0,120.0,210.0,1.0,1.0,2,24.0,9.0,19.0,5.0,0.0,2.0,13,100.0,0,46,71143.0,Charged Off
4474,MS,43000.0,6 years,coordinator,MORTGAGE,536.95,15825,debt_consolidation,36 months,0.1349,2338.0,28.0,285.0,3.0,3.0,0,33.0,12.0,2.0,14.0,0.0,3.0,15,12.5,0,26,30399.0,Fully Paid
4475,MN,38000.0,< 1 year,journals coordinator,RENT,314.2,10000,debt_consolidation,36 months,0.0818,35233.0,119.0,147.0,15.0,15.0,0,0.0,4.0,6.0,2.0,0.0,0.0,5,0.0,0,13,176167.0,Fully Paid
4476,NY,42000.0,10+ years,electrician,RENT,487.45,14000,debt_consolidation,36 months,0.1531,8899.0,112.0,106.0,12.0,12.0,0,0.0,7.0,3.0,3.0,0.0,1.0,4,100.0,0,13,35594.0,Fully Paid
4477,WI,85000.0,8 years,director,MORTGAGE,1115.77,35000,credit_card,36 months,0.0917,26024.0,149.0,578.0,56.0,12.0,5,44.0,8.0,3.0,4.0,0.0,1.0,7,100.0,0,19,52807.0,Fully Paid
4478,FL,42000.0,9 years,manager,MORTGAGE,314.25,9600,credit_card,36 months,0.1099,8999.0,127.0,257.0,16.0,16.0,3,80.0,18.0,6.0,7.0,0.0,0.0,8,80.0,1,34,9217.0,Fully Paid
4480,FL,48000.0,< 1 year,consultant,RENT,507.8,15000,debt_consolidation,36 months,0.1333,8201.0,11.0,50.0,17.0,11.0,0,0.0,3.0,1.0,4.0,0.0,1.0,5,0.0,0,5,41003.0,Fully Paid
4481,OH,10000.0,1 year,pharmacy tech,OWN,111.51,3600,debt_consolidation,36 months,0.0721,1594.0,141.0,419.0,6.0,6.0,0,0.0,3.0,7.0,6.0,0.0,1.0,6,0.0,0,20,9566.0,Fully Paid
4482,OH,56000.0,1 year,foreman,MORTGAGE,472.14,20000,debt_consolidation,60 months,0.1465,9403.0,47.0,45.0,9.0,4.0,2,0.0,7.0,5.0,13.0,0.0,6.0,16,14.3,0,21,74754.0,Charged Off
4483,VA,157000.0,7 years,admin officer/administrator,MORTGAGE,660.84,28000,debt_consolidation,60 months,0.1464,13460.0,136.0,379.0,2.0,2.0,3,0.0,10.0,27.0,16.0,0.0,1.0,25,66.7,0,53,67150.0,Fully Paid
4484,PA,86000.0,10+ years,patrol trooper,MORTGAGE,239.11,7200,credit_card,36 months,0.1199,19820.0,132.0,146.0,28.0,11.0,2,45.0,5.0,9.0,4.0,0.0,2.0,11,66.7,0,22,100846.0,Fully Paid
4485,CT,58000.0,7 years,advisor,RENT,269.23,10800,medical,60 months,0.1714,4129.0,50.0,77.0,3.0,3.0,0,27.0,5.0,4.0,10.0,0.0,6.0,12,0.0,0,19,49550.0,Fully Paid
4486,PA,85000.0,10+ years,billing specialist,MORTGAGE,525.41,22500,debt_consolidation,60 months,0.1416,7923.0,138.0,91.0,2.0,2.0,1,0.0,6.0,9.0,9.0,0.0,1.0,12,40.0,0,21,43650.0,Fully Paid
4487,MS,70000.0,10+ years,nurse,MORTGAGE,615.11,18000,debt_consolidation,36 months,0.1399,39154.0,133.0,156.0,21.0,7.0,3,0.0,6.0,6.0,4.0,0.0,1.0,8,100.0,0,17,51797.0,Fully Paid
4488,CA,90000.0,4 years,los angeles county public defender,MORTGAGE,187.75,6000,car,36 months,0.079,34477.0,132.0,65.0,5.0,2.0,3,0.0,5.0,20.0,7.0,0.0,10.0,17,40.0,0,30,55860.0,Fully Paid
4490,MO,70000.0,< 1 year,dallas plastics corp,RENT,914.99,31000,debt_consolidation,60 months,0.2528,3014.0,125.0,181.0,10.0,10.0,1,0.0,10.0,7.0,8.0,0.0,1.0,10,100.0,0,22,30136.0,Charged Off
4491,TX,20000.0,5 years,retail associate,RENT,379.07,10000,debt_consolidation,36 months,0.2145,811.0,54.0,110.0,4.0,4.0,0,11.0,2.0,8.0,7.0,1.0,2.0,10,50.0,0,16,8109.0,Fully Paid
4493,OH,65000.0,10+ years,driver,MORTGAGE,376.3,11250,debt_consolidation,36 months,0.1249,15348.0,157.0,149.0,18.0,18.0,3,12.0,8.0,18.0,6.0,0.0,0.0,10,60.0,0,30,41636.0,Fully Paid
4495,TX,130000.0,2 years,manager,MORTGAGE,373.22,12000,medical,36 months,0.0749,30748.0,168.0,160.0,46.0,10.0,1,0.0,3.0,8.0,2.0,0.0,2.0,7,100.0,0,18,39740.0,Fully Paid
4496,IN,54000.0,< 1 year,school staff,MORTGAGE,296.75,9000,home_improvement,36 months,0.1149,12893.0,153.0,64.0,2.0,2.0,2,0.0,4.0,16.0,5.0,0.0,2.0,12,66.7,0,25,57649.0,Charged Off
4498,CO,48000.0,10+ years,manager,MORTGAGE,364.7,15000,debt_consolidation,60 months,0.1599,39766.0,116.0,200.0,39.0,27.0,4,0.0,1.0,7.0,2.0,0.0,0.0,3,100.0,0,15,3302.0,Charged Off
4499,FL,50000.0,10+ years,manager,RENT,534.72,15000,credit_card,36 months,0.1699,2633.0,57.0,143.0,1.0,1.0,0,0.0,8.0,5.0,14.0,0.0,10.0,17,0.0,0,24,44762.0,Fully Paid
4500,CA,115000.0,10+ years,manager,MORTGAGE,334.49,10000,debt_consolidation,36 months,0.1249,15765.0,144.0,170.0,10.0,10.0,6,2.0,15.0,4.0,22.0,1.0,2.0,25,11.1,0,46,58161.0,Fully Paid
4501,SC,45000.0,< 1 year,mechanic,OWN,266.03,13000,credit_card,60 months,0.0839,3033.0,72.0,174.0,6.0,6.0,4,0.0,7.0,3.0,7.0,0.0,1.0,8,25.0,0,18,24262.0,Fully Paid
4502,VA,157000.0,10+ years,admin officer/administrator,RENT,426.42,14000,debt_consolidation,36 months,0.0608,18102.0,209.0,168.0,20.0,16.0,1,14.0,11.0,8.0,12.0,0.0,0.0,16,0.0,0,25,91325.0,Fully Paid
4503,TN,51000.0,10+ years,director,MORTGAGE,329.24,10000,credit_card,36 months,0.1139,12758.0,157.0,161.0,10.0,10.0,2,0.0,4.0,3.0,11.0,0.0,1.0,13,75.0,1,16,32246.0,Fully Paid
4504,CA,65000.0,10+ years,inductors inc,MORTGAGE,594.52,19000,home_improvement,36 months,0.079,13294.0,135.0,99.0,11.0,11.0,3,46.0,8.0,12.0,5.0,0.0,2.0,8,0.0,0,25,39892.0,Fully Paid
4505,AR,85000.0,10+ years,manager,MORTGAGE,819.54,29400,debt_consolidation,60 months,0.2245,19189.0,77.0,374.0,4.0,4.0,2,0.0,6.0,5.0,9.0,0.0,3.0,12,100.0,0,16,37452.0,Charged Off
4506,CO,150000.0,8 years,director,OWN,998.2,32000,credit_card,36 months,0.0769,31893.0,135.0,139.0,9.0,3.0,4,0.0,7.0,8.0,10.0,0.0,2.0,13,25.0,0,26,60952.0,Fully Paid
4507,NV,37000.0,3 years,evs utility porter,RENT,540.37,13775,debt_consolidation,36 months,0.2399,7372.0,107.0,142.0,18.0,6.0,0,0.0,7.0,2.0,4.0,0.0,1.0,5,66.7,1,11,36858.0,Fully Paid
4508,MD,102000.0,8 years,manager,MORTGAGE,210.8,6825,car,36 months,0.0702,42563.0,85.0,109.0,17.0,14.0,3,5.0,4.0,4.0,7.0,0.0,0.0,10,0.0,0,18,29932.0,Fully Paid
4510,VA,52000.0,6 years,operator,RENT,296.75,9000,other,36 months,0.1149,4550.0,6.0,174.0,0.0,0.0,0,73.0,7.0,1.0,4.0,0.0,2.0,5,66.7,0,10,22748.0,Charged Off
4512,TX,44500.0,10+ years,admin officer/administrator,MORTGAGE,479.05,19575,home_improvement,60 months,0.1629,21200.0,75.0,90.0,41.0,10.0,3,0.0,2.0,8.0,3.0,0.0,1.0,7,100.0,0,16,27257.0,Charged Off
4513,TN,65000.0,10+ years,driver,MORTGAGE,664.2,20000,debt_consolidation,36 months,0.1199,7161.0,110.0,118.0,36.0,3.0,3,38.0,6.0,8.0,6.0,0.0,2.0,11,0.0,0,18,48067.0,Charged Off
4514,VA,68031.0,8 years,analyst,RENT,292.48,9000,debt_consolidation,36 months,0.1049,3462.0,148.0,121.0,9.0,3.0,0,80.0,4.0,23.0,9.0,0.0,3.0,17,66.7,0,34,55397.0,Fully Paid
4515,FL,50000.0,10+ years,school staff,MORTGAGE,314.2,10000,debt_consolidation,36 months,0.0818,37692.0,134.0,232.0,42.0,42.0,3,5.0,6.0,3.0,5.0,0.0,0.0,7,0.0,0,22,17461.0,Fully Paid
4516,WI,80000.0,10+ years,engineer,MORTGAGE,375.99,12000,home_improvement,36 months,0.0799,19363.0,157.0,222.0,26.0,13.0,2,39.0,5.0,10.0,5.0,0.0,0.0,8,50.0,0,20,154905.0,Fully Paid
4517,OH,70000.0,10+ years,top executive,MORTGAGE,181.99,5600,credit_card,36 months,0.1049,16678.0,58.0,247.0,12.0,12.0,3,29.0,5.0,4.0,7.0,0.0,1.0,8,25.0,0,16,13090.0,Fully Paid
4519,OR,106000.0,6 years,fire fighter/expert,MORTGAGE,616.54,20000,major_purchase,36 months,0.0689,26404.0,121.0,163.0,21.0,21.0,1,12.0,6.0,9.0,7.0,0.0,0.0,12,0.0,0,19,52498.0,Fully Paid
4520,AR,23000.0,3 years,cook,MORTGAGE,128.02,4000,credit_card,36 months,0.0944,9010.0,18.0,112.0,4.0,4.0,2,43.0,4.0,1.0,8.0,0.0,3.0,9,0.0,0,14,3563.0,Fully Paid
4521,IL,38513.0,10+ years,accountant,RENT,262.02,11675,debt_consolidation,60 months,0.1239,906.0,112.0,375.0,6.0,6.0,1,33.0,9.0,2.0,12.0,0.0,3.0,13,16.7,0,19,9961.0,Fully Paid
4522,IL,68000.0,10+ years,supervisor,MORTGAGE,525.82,26000,debt_consolidation,60 months,0.0789,13833.0,100.0,327.0,15.0,15.0,2,0.0,6.0,2.0,9.0,0.0,0.0,10,0.0,0,19,26665.0,Fully Paid
4523,TX,38000.0,1 year,developer,MORTGAGE,85.04,2500,credit_card,36 months,0.1366,13946.0,145.0,215.0,6.0,3.0,1,0.0,3.0,13.0,3.0,0.0,6.0,13,50.0,0,20,58076.0,Fully Paid
4524,NC,106000.0,1 year,analyst,MORTGAGE,628.77,29600,debt_consolidation,60 months,0.0999,10822.0,184.0,205.0,16.0,8.0,5,0.0,7.0,9.0,5.0,0.0,1.0,8,33.3,0,25,86577.0,Fully Paid
4525,CA,37000.0,10+ years,sales rep,MORTGAGE,273.39,8000,debt_consolidation,36 months,0.1399,11885.0,128.0,124.0,13.0,4.0,2,0.0,10.0,4.0,9.0,0.0,1.0,11,66.7,0,29,39854.0,Fully Paid
4526,IL,46000.0,1 year,service specialist,RENT,535.47,15000,debt_consolidation,36 months,0.1709,5762.0,155.0,87.0,5.0,5.0,0,0.0,8.0,30.0,15.0,0.0,6.0,20,16.7,1,48,109471.0,Fully Paid
4527,CA,47000.0,1 year,security officer,RENT,169.66,5000,major_purchase,36 months,0.1349,3274.0,57.0,290.0,16.0,8.0,0,0.0,9.0,6.0,6.0,0.0,1.0,7,100.0,1,23,22921.0,Charged Off
4528,FL,40000.0,2 years,solution specialist,OWN,482.25,15000,credit_card,36 months,0.0975,875.0,57.0,47.0,7.0,7.0,0,0.0,12.0,1.0,14.0,0.0,3.0,15,27.3,0,17,13132.0,Fully Paid
4529,LA,50000.0,7 years,manager,MORTGAGE,655.51,18350,home_improvement,36 months,0.1714,29451.0,17.0,84.0,31.0,6.0,1,28.0,7.0,1.0,3.0,0.0,1.0,6,0.0,0,12,8330.0,Fully Paid
4530,NY,85000.0,10+ years,endoscopy tech,RENT,470.74,14500,other,36 months,0.1042,1931.0,26.0,134.0,5.0,5.0,0,0.0,6.0,2.0,12.0,0.0,3.0,13,50.0,0,15,25107.0,Fully Paid
4531,MO,85770.0,10+ years,supervisor,MORTGAGE,760.82,35000,debt_consolidation,60 months,0.1099,11399.0,140.0,188.0,20.0,20.0,1,0.0,13.0,8.0,10.0,0.0,0.0,14,42.9,0,27,83950.0,Fully Paid
4532,MA,84000.0,10+ years,infection prevention mamager,OWN,666.82,21000,debt_consolidation,36 months,0.089,2239.0,99.0,451.0,9.0,9.0,0,0.0,21.0,4.0,27.0,0.0,1.0,28,33.3,0,53,42548.0,Fully Paid
4533,NJ,90000.0,6 years,manager,OWN,771.96,30000,debt_consolidation,60 months,0.1862,2826.0,156.0,388.0,18.0,18.0,0,46.0,18.0,7.0,14.0,0.0,0.0,21,76.9,0,27,56521.0,Fully Paid
4534,VA,200000.0,< 1 year,architect,MORTGAGE,752.87,25000,debt_consolidation,36 months,0.0532,56493.0,90.0,177.0,14.0,12.0,2,0.0,7.0,8.0,7.0,0.0,1.0,12,0.0,0,27,187366.0,Fully Paid
4535,NY,95000.0,10+ years,operator,RENT,920.91,30000,credit_card,60 months,0.2727,4657.0,157.0,154.0,23.0,13.0,0,43.0,7.0,13.0,6.0,0.0,0.0,7,66.7,0,30,32600.0,Charged Off
4536,TX,56160.0,2 years,rockwater energy,MORTGAGE,423.41,16500,debt_consolidation,60 months,0.1849,5005.0,169.0,139.0,26.0,14.0,1,0.0,10.0,4.0,9.0,0.0,0.0,12,28.6,0,17,60063.0,Charged Off
4537,MO,21383.0,6 years,distributor,RENT,320.94,9325,credit_card,36 months,0.1449,1514.0,43.0,77.0,19.0,19.0,0,0.0,5.0,1.0,8.0,0.0,0.0,9,100.0,0,12,13623.0,Charged Off
4539,NY,60000.0,10+ years,care practitioner/giver,RENT,87.66,2700,home_improvement,36 months,0.1042,1792.0,116.0,115.0,6.0,6.0,0,80.0,4.0,2.0,5.0,0.0,1.0,6,0.0,0,8,10753.0,Fully Paid
4540,MI,90000.0,1 year,ICT expert,MORTGAGE,375.91,11000,credit_card,36 months,0.1399,9041.0,226.0,360.0,22.0,2.0,1,46.0,4.0,17.0,12.0,0.0,3.0,15,66.7,1,33,45554.0,Fully Paid
4541,NY,85000.0,< 1 year,engineer,RENT,187.94,6000,credit_card,36 months,0.0797,6659.0,118.0,139.0,16.0,16.0,0,12.0,8.0,23.0,9.0,0.0,0.0,18,28.6,0,34,119869.0,Fully Paid
4542,CO,83000.0,10+ years,real estate broker,RENT,329.62,10000,other,36 months,0.1147,3241.0,175.0,112.0,6.0,6.0,0,25.0,1.0,8.0,5.0,0.0,1.0,9,100.0,0,13,29172.0,Fully Paid
4543,WI,64000.0,2 years,rn,MORTGAGE,552.42,21500,debt_consolidation,60 months,0.1855,33947.0,251.0,299.0,1.0,1.0,5,5.0,8.0,2.0,4.0,2.0,1.0,7,66.7,0,25,5556.0,Charged Off
4544,DC,70000.0,3 years,manager,RENT,368.66,16000,debt_consolidation,60 months,0.1356,8057.0,147.0,143.0,11.0,11.0,0,24.0,11.0,25.0,9.0,0.0,1.0,11,0.0,0,47,88631.0,Charged Off
4545,NY,145000.0,1 year,manager,OWN,378.2,12000,debt_consolidation,36 months,0.0839,4191.0,160.0,171.0,3.0,3.0,0,74.0,7.0,6.0,12.0,0.0,2.0,15,100.0,0,27,62869.0,Fully Paid
4546,NJ,77000.0,3 years,tax associate,RENT,615.11,18000,debt_consolidation,36 months,0.1399,6336.0,149.0,81.0,10.0,10.0,0,0.0,11.0,11.0,12.0,0.0,2.0,16,70.0,0,27,101375.0,Fully Paid
4547,NY,110000.0,10+ years,manager,RENT,796.98,25000,debt_consolidation,36 months,0.0917,4037.0,97.0,153.0,6.0,6.0,0,0.0,8.0,3.0,6.0,0.0,2.0,7,75.0,0,16,28257.0,Charged Off
4548,IN,110000.0,8 years,technician,MORTGAGE,192.17,6000,home_improvement,36 months,0.0949,9172.0,61.0,135.0,7.0,2.0,0,0.0,7.0,5.0,6.0,0.0,3.0,8,100.0,0,23,73373.0,Charged Off
4549,NY,113300.0,3 years,manager,RENT,785.62,24000,credit_card,36 months,0.1099,4667.0,116.0,125.0,78.0,38.0,0,6.0,4.0,12.0,4.0,0.0,0.0,9,0.0,0,21,37337.0,Fully Paid
4550,CA,48000.0,10+ years,merchandise,MORTGAGE,378.77,10775,debt_consolidation,36 months,0.1599,36554.0,137.0,196.0,30.0,8.0,1,11.0,18.0,2.0,6.0,4.0,1.0,8,100.0,0,29,18835.0,Fully Paid
4551,TX,100000.0,6 years,sales rep,MORTGAGE,805.08,24000,home_improvement,36 months,0.1269,3008.0,127.0,223.0,8.0,8.0,0,76.0,11.0,8.0,12.0,0.0,2.0,14,50.0,0,24,42116.0,Fully Paid
4552,OH,60000.0,10+ years,sales rep,RENT,318.87,9000,other,36 months,0.1655,5243.0,122.0,453.0,5.0,5.0,2,69.0,9.0,3.0,15.0,2.0,3.0,16,57.1,0,22,53610.0,Charged Off
4553,OH,49000.0,10+ years,engineer,RENT,164.81,5000,other,36 months,0.1147,1938.0,139.0,180.0,9.0,9.0,0,0.0,9.0,8.0,6.0,0.0,2.0,7,0.0,1,21,11627.0,Fully Paid
4554,IL,36000.0,10+ years,sales rep,MORTGAGE,412.82,12000,debt_consolidation,36 months,0.1446,2698.0,13.0,66.0,20.0,13.0,0,0.0,4.0,1.0,5.0,0.0,0.0,6,33.3,0,8,16187.0,Fully Paid
4557,NM,77000.0,10+ years,trackman,RENT,248.82,8000,debt_consolidation,36 months,0.0749,5380.0,125.0,232.0,4.0,2.0,1,49.0,13.0,5.0,12.0,0.0,3.0,15,0.0,0,31,80703.0,Fully Paid
4558,CA,60000.0,10+ years,cardinal healh,RENT,539.62,14825,credit_card,36 months,0.1849,1401.0,115.0,144.0,14.0,14.0,0,9.0,8.0,3.0,10.0,0.0,0.0,12,66.7,0,21,14007.0,Fully Paid
4560,FL,93000.0,10+ years,analyst,RENT,542.44,17500,credit_card,36 months,0.0726,2262.0,121.0,180.0,8.0,8.0,0,0.0,15.0,2.0,11.0,0.0,1.0,12,40.0,0,28,27141.0,Fully Paid
4561,NY,160000.0,10+ years,director,MORTGAGE,848.27,25000,debt_consolidation,36 months,0.1349,52266.0,129.0,260.0,34.0,12.0,1,50.0,10.0,7.0,7.0,0.0,1.0,12,100.0,0,24,104826.0,Fully Paid
4562,OR,71000.0,3 years,manager,RENT,770.68,25000,credit_card,36 months,0.0689,3631.0,58.0,203.0,11.0,11.0,0,0.0,15.0,2.0,9.0,0.0,1.0,11,100.0,0,24,39936.0,Fully Paid
4564,TX,163000.0,10+ years,sales rep,MORTGAGE,446.36,15000,debt_consolidation,60 months,0.2569,16885.0,168.0,169.0,12.0,9.0,3,0.0,12.0,26.0,12.0,0.0,3.0,20,100.0,0,54,134369.0,Charged Off
4565,WA,102000.0,10+ years,officer,MORTGAGE,989.29,35000,debt_consolidation,60 months,0.2313,10376.0,126.0,200.0,11.0,7.0,3,0.0,11.0,26.0,9.0,0.0,5.0,14,80.0,0,46,134884.0,Charged Off
4566,IN,77000.0,6 years,journey machinist,MORTGAGE,765.73,30000,debt_consolidation,60 months,0.1824,14334.0,151.0,208.0,12.0,12.0,2,41.0,8.0,8.0,9.0,0.0,1.0,13,66.7,0,22,106023.0,Charged Off
4567,KS,34000.0,5 years,manager,RENT,291.84,11500,credit_card,60 months,0.1797,3281.0,69.0,43.0,3.0,3.0,0,0.0,5.0,2.0,7.0,0.0,5.0,8,40.0,0,9,26248.0,Charged Off
4568,NY,70000.0,10+ years,superintendent,RENT,540.96,20000,debt_consolidation,60 months,0.2099,2796.0,36.0,206.0,1.0,1.0,0,0.0,8.0,3.0,17.0,0.0,8.0,19,14.3,0,21,53121.0,Fully Paid
4569,CT,58000.0,10+ years,research associate,RENT,88.22,2600,debt_consolidation,36 months,0.1349,3781.0,128.0,50.0,10.0,10.0,0,0.0,4.0,3.0,4.0,0.0,1.0,7,50.0,0,13,18904.0,Fully Paid
4570,NC,38500.0,5 years,dicks sporting goods,MORTGAGE,583.48,17050,credit_card,36 months,0.1409,1127.0,167.0,185.0,3.0,3.0,3,0.0,12.0,3.0,14.0,0.0,2.0,14,57.1,1,25,14648.0,Fully Paid
4571,CO,47000.0,3 years,admin officer/administrator,RENT,199.26,6000,home_improvement,36 months,0.1199,3900.0,140.0,235.0,11.0,6.0,1,69.0,8.0,13.0,9.0,0.0,2.0,19,50.0,0,32,58504.0,Fully Paid
4572,VT,42000.0,< 1 year,nurse,RENT,530.76,15300,debt_consolidation,36 months,0.1505,9982.0,105.0,107.0,9.0,9.0,1,0.0,7.0,10.0,7.0,0.0,4.0,16,50.0,0,24,54897.0,Charged Off
4573,FL,35000.0,10+ years,clerk,RENT,289.34,12000,other,60 months,0.1561,1226.0,196.0,176.0,3.0,3.0,0,45.0,12.0,8.0,16.0,0.0,3.0,22,0.0,0,26,26979.0,Fully Paid
4574,NY,63000.0,3 years,captain servrr,RENT,301.93,12000,debt_consolidation,60 months,0.1757,2487.0,127.0,135.0,16.0,7.0,1,21.0,9.0,4.0,8.0,1.0,1.0,9,40.0,0,19,17408.0,Fully Paid
4576,TN,62000.0,10+ years,driver,MORTGAGE,395.96,14500,debt_consolidation,60 months,0.2145,6997.0,129.0,190.0,16.0,11.0,4,56.0,6.0,12.0,4.0,0.0,1.0,7,33.3,0,24,48977.0,Fully Paid
4577,TX,80000.0,1 year,rn,MORTGAGE,140.09,4200,other,36 months,0.1229,24547.0,133.0,301.0,23.0,12.0,2,7.0,9.0,11.0,6.0,0.0,1.0,8,80.0,0,26,24261.0,Fully Paid
4578,CO,80789.0,10+ years,human resources,MORTGAGE,224.87,6825,debt_consolidation,36 months,0.1144,28665.0,171.0,92.0,2.0,2.0,2,0.0,3.0,26.0,7.0,0.0,3.0,10,66.7,0,35,93363.0,Fully Paid
4579,NC,38000.0,3 years,litigation paralegal,MORTGAGE,464.87,14000,debt_consolidation,36 months,0.1198,22209.0,61.0,114.0,17.0,14.0,3,0.0,5.0,5.0,5.0,0.0,0.0,8,25.0,0,17,31000.0,Fully Paid
4580,OH,92000.0,10+ years,driver,MORTGAGE,539.57,21000,debt_consolidation,60 months,0.1855,24894.0,149.0,367.0,3.0,2.0,4,45.0,11.0,23.0,6.0,0.0,5.0,11,33.3,0,44,130708.0,Fully Paid
4581,NM,114000.0,10+ years,consultant,MORTGAGE,900.83,31000,debt_consolidation,60 months,0.245,31322.0,146.0,159.0,3.0,3.0,2,54.0,13.0,26.0,5.0,0.0,5.0,9,100.0,0,54,28939.0,Charged Off
4582,MA,130000.0,3 years,architect,MORTGAGE,612.89,20000,credit_card,36 months,0.0649,24295.0,110.0,279.0,5.0,5.0,5,27.0,15.0,5.0,17.0,0.0,2.0,18,33.3,0,40,74765.0,Fully Paid
4583,NY,80000.0,2 years,manager,MORTGAGE,546.77,16000,debt_consolidation,36 months,0.1399,8009.0,164.0,200.0,9.0,9.0,2,5.0,10.0,4.0,12.0,0.0,5.0,15,40.0,0,28,37082.0,Fully Paid
4584,TN,65000.0,10+ years,paramedical,MORTGAGE,570.37,16000,debt_consolidation,36 months,0.1699,3698.0,145.0,304.0,4.0,4.0,3,1.0,10.0,5.0,19.0,0.0,2.0,21,71.4,0,34,33909.0,Fully Paid
4585,AZ,145000.0,7 years,electronics foreman,MORTGAGE,586.74,16000,home_improvement,36 months,0.1903,33915.0,138.0,287.0,7.0,7.0,3,3.0,6.0,8.0,6.0,0.0,1.0,10,75.0,0,24,60246.0,Fully Paid
